account,amount,ledger,line,reference,token_address,token_amount,transaction,ts,wallet
112003,2206432.507121,P&L,1,0x2c99a1d8f744d60fb4d20c5043cad26c44a1ac68bd47e919dbdafebdbe6e9974,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2206432.507121,ENTER-EXIT-COMP-USDC-1,2023-04-19 12:43:35.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
112003,-8050.0,P&L,1,0xff12b9040045b4d1e91db2eb73827d37a072b7880e080942661e2ebc9ff04d7b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-8050.0,ENTER-EXIT-COMP-USDC-2,2023-06-07 12:25:47.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
112003,-1500000.0,P&L,1,0x4000be51c67ed400087ffb878aed1073c7031d54a2a06a7f74972cb1912e1df2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-1500000.0,ENTER-EXIT-COMP-USDC-3,2024-04-03 12:12:59.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
112003,-825758.209246,P&L,1,0x2ab043c066bcb1e25b886cec31e5965bf405abd0cf5df14db09bef1e63577b10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-825758.209246,ENTER-EXIT-COMP-USDC-4,2024-05-15 11:55:23.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
111001,-2206432.507121,P&L,2,0x2c99a1d8f744d60fb4d20c5043cad26c44a1ac68bd47e919dbdafebdbe6e9974,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-2206432.507121,ENTER-EXIT-COMP-USDC-1,2023-04-19 12:43:35.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
111001,8050.0,P&L,2,0xff12b9040045b4d1e91db2eb73827d37a072b7880e080942661e2ebc9ff04d7b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8050.0,ENTER-EXIT-COMP-USDC-2,2023-06-07 12:25:47.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
111001,1500000.0,P&L,2,0x4000be51c67ed400087ffb878aed1073c7031d54a2a06a7f74972cb1912e1df2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1500000.0,ENTER-EXIT-COMP-USDC-3,2024-04-03 12:12:59.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
111001,825758.209246,P&L,2,0x2ab043c066bcb1e25b886cec31e5965bf405abd0cf5df14db09bef1e63577b10,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,825758.209246,ENTER-EXIT-COMP-USDC-4,2024-05-15 11:55:23.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,30.135118861929566,P&L,2,0x1a0f065b2293b5113552dd968fab58c078322a5fb2520d82ab846327134fe0df,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,30.135118861929566,ACCRUAL-COMP-USDC-1,2023-04-19 18:17:59.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,149.14177089451968,P&L,2,0x66bafd92781557d89f5729d6b8b5630621ba87d8330f2aba0755a46a03970864,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,149.14177089451968,ACCRUAL-COMP-USDC-2,2023-04-20 21:51:23.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,232.96242009236178,P&L,2,0x8612a0e3aa4b664e2fa6ca43d4716f9c3379b63b32f7a33434a131247f25d992,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,232.96242009236178,ACCRUAL-COMP-USDC-3,2023-04-21 23:01:47.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,133.89755471043782,P&L,2,0xaf7b1e155284b04a2f28e679a9520c143c2de9137bfb8b886ea6ba5f508c1c44,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,133.89755471043782,ACCRUAL-COMP-USDC-4,2023-04-22 20:00:59.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,158.8903468922908,P&L,2,0xfaeda1e423ef663ae9a45edbd092f524267789900bb186fe4adf7e05eb3e4afa,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,158.8903468922908,ACCRUAL-COMP-USDC-5,2023-04-23 20:55:11.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,167.93029300062057,P&L,2,0x1aec5664d964fc5c4feedadf3094e159fb7f65f715bc1f3f8c35f3363c491e97,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,167.93029300062057,ACCRUAL-COMP-USDC-6,2023-04-24 23:14:23.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,152.08379923425423,P&L,2,0xfc1bc9f13b3d1a6f5e615924e4775214747dfb07eda449f10bf0abc7dd5f328f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,152.08379923425423,ACCRUAL-COMP-USDC-7,2023-04-25 23:05:11.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,149.21228694102007,P&L,2,0x01b55cc9205bee7913706e9ccb3183331d9459b0c31e857011cca1201cb5385b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,149.21228694102007,ACCRUAL-COMP-USDC-8,2023-04-26 22:28:11.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,156.97600536346803,P&L,2,0x96cefbfa38010161e4ea9b54ee0ddb7b53b9db6b6ce447d829577827f780495f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,156.97600536346803,ACCRUAL-COMP-USDC-9,2023-04-27 23:04:47.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,157.18870997778166,P&L,2,0x0fe21cfd253726d902882bec4ed2ab2680a94854980f77968e8c8de0a04ae67c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,157.18870997778166,ACCRUAL-COMP-USDC-10,2023-04-28 23:43:11.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,148.57417309807914,P&L,2,0xd54957c6fd7c2c37d05092ec1b4997040ba8d78dcb4978bb2dd0b3aa47b6ca20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,148.57417309807914,ACCRUAL-COMP-USDC-11,2023-04-29 23:00:23.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,148.57417309807914,P&L,2,0x427b1452d3129bd2642256c01536dab70785b2af25f6acedc64758f9fbe1ed83,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,148.57417309807914,ACCRUAL-COMP-USDC-12,2023-04-30 22:17:47.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,127.41006397387174,P&L,2,0x16b8903b492a108d3937001786a8ee1c40d82e2ffd2882d7829145273292d0e3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,127.41006397387174,ACCRUAL-COMP-USDC-13,2023-05-01 18:16:35.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,158.4649376636635,P&L,2,0x6cc7a7d3705f34053d151d0e451e0f3a7cd2917254647181419d96834ee26adb,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,158.4649376636635,ACCRUAL-COMP-USDC-14,2023-05-02 19:06:35.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,169.95098683660018,P&L,2,0x81e8c32f3976604d10ac0d882c4367711b1fd3b3ce6913a69957772e28a4685a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,169.95098683660018,ACCRUAL-COMP-USDC-15,2023-05-03 21:44:59.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,160.9110407282704,P&L,2,0xf05dd1c04586dc2e8e60c08bdb11d4385ae536f4e8ecf345c46382d592ede7d3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,160.9110407282704,ACCRUAL-COMP-USDC-16,2023-05-04 22:58:23.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,141.44856851857213,P&L,2,0xe87d16ae40bb071adbbcdd23e7719b59226cf1eb18a09e0879df5b313be61dd3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,141.44856851857213,ACCRUAL-COMP-USDC-17,2023-05-05 21:09:11.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,160.80468842111358,P&L,2,0xa93dd09c21e82de00396f33db2a74d681997e76be5dae6113d565952578989dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,160.80468842111358,ACCRUAL-COMP-USDC-18,2023-05-06 22:21:59.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,92.95191645506168,P&L,2,0xff24610facac6609df47293b934bd4ae8a6f00941fc5dfa406b90b9b1b35f3b7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,92.95191645506168,ACCRUAL-COMP-USDC-19,2023-05-07 12:56:23.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,181.43703600953685,P&L,2,0xca84a973a4582fdf6b1748976aa45b76644ac3d9d96aa4cb1857b7186535034d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,181.43703600953685,ACCRUAL-COMP-USDC-20,2023-05-08 17:22:23.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,152.47096844775277,P&L,2,0x09ff524321600df4fde6bedefd8e3f6d84c5aaf21fa7b841658933e92f9a285e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,152.47096844775277,ACCRUAL-COMP-USDC-21,2023-05-09 10:58:11.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,266.6435419773497,P&L,2,0x3b38af342694570d1c805c8fae4e2320d8f1f0e86728710e86508d6d30d4bbbc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,266.6435419773497,ACCRUAL-COMP-USDC-22,2023-05-10 17:43:11.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
32321008,244.8206829862495,P&L,2,0x7616f4ff50364ba9f57d41fce2de9442f65d0423cfbbabde40e53ab480a2eba3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,244.8206829862495,ACCRUAL-COMP-USDC-23,2023-05-11 21:57:47.000 UTC,0x616de58c011f8736fa20c7ae5352f7f6fb9f0669
