date,deposit_apy,borrow_apy,utilization_rate,total_deposit_usd,total_borrow_usd
2022-08-13,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-14,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-15,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-16,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-17,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-18,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-19,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-20,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-21,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-22,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-23,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-24,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-25,2.346625910952,4.027135594752,0.0,0.0,0.0
2022-08-26,2.346625910952,4.027135594752,72.20387425030592,2218659.436338908,1601958.0694566907
2022-08-27,5.878262260296,6.3489139097184,88.19565565876674,4892861.4994139625,4315291.2798835095
2022-08-28,2.0867080532688,3.7472240549808,64.2064017254416,6718775.148628403,4313883.762957488
2022-08-29,2.3887310625936,4.0724796039696,73.49941743547784,5880786.882763316,4322344.099453035
2022-08-30,2.2772813627088,3.952456848792,70.07019585605863,6169788.694816326,4323183.022362763
2022-08-31,2.3075854025616,3.9850919698464,71.00262783405653,6104128.865152193,4334091.900635229
2022-09-01,2.3924804470128,4.0765174040304,73.61478310922554,5963598.939121,4390090.424538
2022-09-02,2.290931947368,3.967157481336,70.49021386572132,6245652.046143,4402573.484635
2022-09-03,2.2229366290416,3.8939317534224,68.39805022322699,6437291.356058,4402981.774732
2022-09-04,2.223095204664,3.894102524016,68.40292942554547,6440058.04379683,4405188.358662509
2022-09-05,2.2232061104688,3.8942219634624,68.40634198505006,6437595.463262676,4403723.568213534
2022-09-06,2.2833684130464,3.9590121330432,70.25748968656251,6292103.978493194,4420674.303757645
2022-09-07,2.583134526456,4.2818371804368,79.48106242395897,6559617.400425762,5213653.600805274
2022-09-08,1.9047179474064,3.5512347087504,58.6067061372157,8905305.662486,5219106.320234
2022-09-09,2.0357174759472,3.6923111245872,62.637460865667606,8412893.862462785,5269623.100770279
2022-09-10,2.2901669281584,3.9663336127968,70.66599679082324,7952150.411120687,5619466.354323981
2022-09-11,3.7567116763488,5.022944791992,82.89177919617313,10742497.436175607,8904647.254949246
2022-09-12,6.2671762842768,6.5919851731296,89.16794072117652,14399413.97378656,12839660.916342808
2022-09-13,4.1327516991312,5.2579698089904,83.8318792565083,17837201.93654335,14953261.590182582
2022-09-14,2.265111137808,3.939350455656,69.69572741450393,22828474.150622,15910471.116908
2022-09-15,2.2064724970704,3.8762011483056,67.89146153032434,29430148.126531374,19980557.69364152
2022-09-16,3.7183134301344,4.9989458896848,82.79578358235213,37573089.50322846,31108933.8702965
2022-09-17,2.393688077136,4.0778179297488,73.65194096360213,43722143.3005518,32202207.171743937
2022-09-18,2.3982365018016,4.0827162305664,73.82550310297421,44141320.59554139,32587552.0059552
2022-09-19,2.363171730624,4.0449541695408,72.71297640241526,45024004.551607534,32738293.80503276
2022-09-20,2.0312484494688,3.68749833048,62.49995240970904,56887962.81889583,35554949.688662864
2022-09-21,2.4025751647632,4.0873886358624,73.92538976059355,45029845.93326928,33288489.114764094
2022-09-22,2.0200528824912,3.6754415658,62.15547341246259,44555934.38162458,27693951.948244944
2022-09-23,1.9466882889552,3.5964335388384,59.89810123449938,44681563.24898395,26763407.98803328
2022-09-24,1.971742420512,3.6234149141952,60.66899766711932,44252378.71617375,26847474.61096026
2022-09-25,2.0229778338768,3.6785915107776,62.24547189851918,44384190.878649965,27627149.06075518
2022-09-26,2.1179310521616,3.7808488230192,65.16710933356134,43022207.74914199,28036329.161595263
2022-09-27,2.1454203904848,3.8104527258288,66.01293516629742,49627863.97374041,32760809.66940353
2022-09-28,1.9615606476336,3.6124499258352,60.355712313436825,54039186.50566487,32615735.943880662
2022-09-29,2.1339673194528,3.7981186493328,65.66053300910022,53415109.27466746,35072645.457139984
2022-09-30,2.1524271472656,3.8179984643856,66.2386758406705,53615596.77708404,35514261.349213675
2022-10-01,2.0461869076032,3.7035858973824,62.95959720986072,54614267.406931,34384922.77852
2022-10-02,2.0931426870912,3.7541536620912,64.4043904880108,53736477.5746209,34608650.851661205
2022-10-03,2.211162912576,3.8812523671872,68.03578203666052,54016242.79688945,36750373.21368504
2022-10-04,2.2453324303248,3.9180503064672,69.08715177585108,53860116.77516458,37210420.62310859
2022-10-05,2.01854706372,3.6738199121472,62.10914052102142,64059038.71119863,39786518.36955386
2022-10-06,1.9566030622896,3.6071109882576,60.20317126954489,65447269.867762,39401331.96973
2022-10-07,1.9415380375728,3.5908871133024,59.69384814024254,65386901.02075552,39031957.398940496
2022-10-08,1.9554990342336,3.6059220337536,60.169201135425,65288636.58873509,39283651.067652695
2022-10-09,2.173539187368,3.8407345075728,66.87812890732316,57963307.46567846,38764775.48584451
2022-10-10,2.153635682472,3.8192999614128,66.26571335314146,57314476.91194784,37979846.9803238
2022-10-11,2.2023664720272,3.871779277608,67.7651223244684,57533403.5332664,38987581.281748
2022-10-12,2.2361611402656,3.9081735340128,68.80495823670188,59006232.056786,40599213.323723
2022-10-13,2.1388687581024,3.8033971229376,65.81134647723613,68090336.286549,44811167.131056
2022-10-14,2.2080536238096,3.8779039030896,67.94011162097858,68124249.13433072,46283690.90281783
2022-10-15,2.3941312430832,4.0782951829584,73.6655767963491,62981443.25717209,46395643.450061135
2022-10-16,1.98525576996,3.6379677501216,61.0847930409374,63445176.26223605,38755354.61424483
2022-10-17,1.9635983651952,3.6146443899312,60.41841132073928,66314313.69944008,40066054.81545306
2022-10-18,1.7150671511136,3.3469953903936,52.77129699540146,77899650.14024909,41108655.73388952
2022-10-19,1.7555268488832,3.3905673760032,54.01597635351344,77645209.00250171,41940817.734427415
2022-10-20,1.7685921947616,3.4046377458192,54.418221477673136,77601845.62242973,42229544.22157581
2022-10-21,1.8610166799648,3.504171804624,57.26205171911407,77408210.6311882,44325529.60647174
2022-10-22,1.8243901514592,3.4647278561856,56.135081703140365,78389299.628158,44003897.392786
2022-10-23,1.9055283059232,3.5521074044784,58.63164030424859,77154304.11774576,45236834.06956275
2022-10-24,2.1495587651568,3.8149094374992,66.14211744129518,68315286.83797738,45185177.25073268
2022-10-25,1.7506455175872,3.385310555016,53.86601595766929,87763969.65128803,47274953.89744684
2022-10-26,1.6645445901072,3.2925864778128,51.32965714868997,88874561.061946,45619007.4855
2022-10-27,1.6606797776208,3.2884243723008,51.04442631327102,88863724.47360058,45359978.35815523
2022-10-28,1.7653953431376,3.4011949827744,54.31933508317868,88492901.07541044,48068755.45997802
2022-10-29,1.6659964318608,3.2941500011568,51.26142871191253,95732709.054596,49073954.40600436
2022-10-30,1.6511153124816,3.2781241817424,50.80354815104594,96644406.07436769,49098787.37528376
2022-10-31,1.7008292526048,3.33166226868,52.33320781522881,96052982.478319,50267606.933104
2022-11-01,1.837563236928,3.4789142532528,56.75653321429607,92505478.8943274,52502902.853702575
2022-11-02,1.7682884242416,3.4043106071232,54.4088746582116,92249255.41644104,50191781.752664894
2022-11-03,1.5922116432,3.2146894609776,48.99112754686622,102327397.1434414,50131345.649931714
2022-11-04,1.8818722251648,3.5266316271408,57.91455431663531,92289497.96872634,53449051.429648064
2022-11-05,1.7846055479952,3.4218828952128,54.91094000206456,98708311.49174656,54201661.70028395
2022-11-06,1.7273624257152,3.3602364580176,54.05306039578274,99699997.90840806,53890900.084025934
2022-11-07,1.7666301604464,3.4025247865152,54.3578511369433,102314182.86715868,55615791.21491006
2022-11-08,1.6511403520656,3.2781511450224,50.804748121737205,91648575.90926407,46561828.14786074
2022-11-09,1.2859815643344,2.8849032231696,39.56866361098517,88338617.81739943,34954410.52276059
2022-11-10,1.3944839758848,3.0017519714016,42.90719933011567,78812187.939454,33816102.57560691
2022-11-11,1.4016573058176,3.0094770961872,43.12791718748697,78546693.54312062,33875552.94478624
2022-11-12,1.436512403592,3.0470133562992,44.20369386144744,75508863.37973571,33377706.806636963
2022-11-13,1.3871237604624,2.9938255870176,42.6807311503808,75711761.67788689,32314333.45095594
2022-11-14,2.177042852736,3.844507685904,66.98593397945244,76289683.832295,51103357.24503413
2022-11-15,1.6684480814976,3.2967902392272,51.34183563906658,99556816.04308316,51114296.86032762
2022-11-16,1.6694502419664,3.297869489448,51.36769980444817,101701706.87299228,52241827.48251851
