date,timestamp,token_symbol,Y_Aave_APY,X_Variable_Borrow_APY,X_Aave_Utilization,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,cumulativeSupplySideRevenueUSD,blockNumber
2023-01-27 23:14:47,1674861287,USDC,30.170.676.440.757.700,38.599.351.648.592.900,8.684.882.565.430.380,6.934.085.213.470.140,7.984.086.326.130.450,7.984.086.326.130.450,23.171.715.003.930.900,16501363
2023-01-28 23:53:23,1674950003,USDC,8.292.635.806.875.470,2.023.642.456.937.180,4.553.208.466.330.210,24.625.003.066.790.100,5.408.274.900.849.720,5.408.274.900.849.720,1.304.027.694.846.620,16508724
2023-01-29 23:20:11,1675034411,USDC,10.729.864.292.279.800,23.018.901.832.929.900,5.179.274.654.925.350,4.257.480.041.113.130,8.220.224.500.093.630,8.220.224.500.093.630,2.865.704.319.924.470,16515718
2023-01-30 23:41:35,1675122095,USDC,15.419.796.956.746.000,27.594.772.234.141.100,6.208.848.929.140.840,6.572.141.689.178.830,10.585.120.952.666.200,10.585.120.952.666.200,6.814.825.570.348.740,16522992
2023-01-31 23:59:11,1675209551,USDC,1.881.237.628.482.980,3.047.960.361.106.900,6.857.964.269.317.790,897.161.613.860.813,13.082.039.780.735.900,13.082.039.780.735.900,11.612.620.258.498.100,16530243
2023-02-01 23:45:47,1675295147,USDC,16.855.206.213.128.700,28.850.578.198.308.700,6.491.459.143.201.020,9.309.806.976.432,14.341.624.542.431,14.341.624.542.431,17.514.935.059.070.300,16537335
2023-02-02 22:56:11,1675378571,USDC,1.749.865.310.784.400,29.396.105.484.762.900,6.614.230.203.391.300,10.468.398.068.009.400,15.827.084.552.699.700,15.827.084.552.699.700,24.008.799.731.941.400,16544230
2023-02-03 23:46:47,1675468007,USDC,17.875.510.420.776.500,29.710.961.871.790.500,6.685.109.503.493.810,10.744.367.058.506,16.072.088.352.316,16.072.088.352.316,3.123.925.545.763.740,16551634
2023-02-04 21:44:47,1675547087,USDC,18.889.255.957.435.000,3.054.181.990.861.260,6.872.077.362.151.160,1.213.505.789.597.990,17.658.500.125.180.900,17.658.500.125.180.900,38.322.151.849.296.800,16558185
2023-02-05 23:52:47,1675641167,USDC,25.180.264.630.483.800,3.526.286.798.170.980,7.934.380.761.262.230,14.592.456.859.415.800,1.839.142.498.764.370,1.839.142.498.764.370,4.758.621.907.828.540,16565986
2023-02-06 23:28:59,1675726139,USDC,1.787.604.417.978.620,29.711.405.450.038.900,6.685.279.376.718.710,13.994.989.662.837.800,2.093.403.861.561.110,2.093.403.861.561.110,5.746.151.629.853.060,16573035
2023-02-07 23:12:47,1675811567,USDC,19.723.804.471.074.900,3.120.921.395.371.310,7.022.327.426.990.810,15.221.152.624.068,21.675.367.294.274,21.675.367.294.274,6.699.266.907.361.080,16580102
2023-02-08 21:38:35,1675892315,USDC,17.345.096.659.114.500,2.926.684.101.788.480,6.585.290.191.722.260,15.594.572.240.357.500,23.680.918.815.028.100,23.680.918.815.028.100,76.522.009.223.536.100,16586771
2023-02-09 23:52:47,1675986767,USDC,10.842.741.345.619.800,23.139.663.287.689.500,5.206.424.398.365.640,14.224.495.443.353,27.321.044.838.024,27.321.044.838.024,856.315.459.960.282,16594595
2023-02-10 23:59:59,1676073599,USDC,10.652.058.983.934.700,22.935.291.673.421.600,5.160.456.733.922.150,15.244.420.381.721,29.540.835.565.023,29.540.835.565.023,9.304.006.068.545.850,16601799
2023-02-11 23:21:23,1676157683,USDC,13.511.103.995.399.100,25.830.505.456.116.700,5.811.903.047.410.320,17.336.969.790.874,29.830.108.399.002,29.830.108.399.002,10.191.871.892.044.800,16608768
2023-02-12 22:24:47,1676240687,USDC,1.477.193.297.902.180,27.008.853.581.808.100,6.077.060.075.500.770,17.629.989.557.374,29.010.721.201.273,29.010.721.201.273,11.187.073.844.104.200,16615642
2023-02-13 23:50:35,1676332235,USDC,1.234.611.512.582.270,2.469.179.413.431.700,5.555.728.757.205.390,1.891.519.001.741.680,3.404.628.059.439.570,3.404.628.059.439.570,12.371.495.030.317.400,16623227
2023-02-14 23:05:47,1676415947,USDC,17.183.415.172.397.900,29.130.116.927.626.300,6.554.390.668.993.180,2.366.438.849.248.170,3.610.463.533.159.630,3.610.463.533.159.630,13.783.822.993.088.800,16630152
2023-02-15 23:51:35,1676505095,USDC,1.894.124.898.894.720,30.583.824.490.109.800,68.815.164.664.145,25.234.289.451.044.800,3.666.966.369.142.870,3.666.966.369.142.870,15.610.689.736.946.600,16637532
2023-02-16 23:56:59,1676591819,USDC,19.724.900.147.723.300,3.121.008.079.286.960,702.226.921.710.295,25.701.688.285.112.400,36.600.260.529.054.000,36.600.260.529.054.000,1.735.764.723.620.700,16644717
2023-02-17 23:58:47,1676678327,USDC,1.924.738.412.779.310,30.829.987.107.947.400,6.936.788.121.963.360,27.049.491.643.748.800,38.994.259.545.140.600,38.994.259.545.140.600,19.200.500.261.456.000,16651823
2023-02-18 22:06:11,1676757971,USDC,1.547.731.149.488.360,2.764.618.741.815.370,6.220.455.362.322.610,27.195.218.615.428.400,4.371.901.578.162.630,4.371.901.578.162.630,20.982.181.873.359.500,16658372
2023-02-19 23:43:23,1676850203,USDC,18.712.179.693.611.200,30.398.326.540.693.400,6.839.727.985.720.050,30.611.864.799.103,44.755.968.165.714,44.755.968.165.714,22.935.027.977.961.300,16665974
2023-02-20 23:55:11,1676937311,USDC,20.484.704.211.867.500,31.805.507.879.143.300,7.156.391.773.425.950,3.234.049.404.938.820,4.519.106.146.407.350,4.519.106.146.407.350,25.359.490.800.182.800,16673160
2023-02-21 23:36:59,1677022619,USDC,2.245.316.440.611.310,3.329.862.222.791.190,749.240.348.966.495,32.880.307.426.165.400,43.884.859.473.359.500,43.884.859.473.359.500,27.685.773.581.286.200,16680188
2023-02-22 23:44:23,1677109463,USDC,2.050.248.326.070.590,3.181.930.717.615.740,715.958.279.128.233,331.877.293.301.232,4.635.427.831.148.670,4.635.427.831.148.670,30.076.885.865.574.500,16687318
