date,Aave_USDC_APY,Aave_USDC_TVL
2023-02-06,1.80182,6884855.0
2023-02-07,1.97735,6413779.0
2023-02-08,1.73451,8085766.0
2023-02-09,1.0749,13255693.0
2023-02-10,1.05823,14305773.0
2023-02-11,1.35111,12505834.0
2023-02-12,1.47719,11392437.0
2023-02-13,1.24523,14968798.0
2023-02-14,1.71585,12471004.0
2023-02-15,1.88962,11472623.0
2023-02-16,2.00243,10627214.0
2023-02-17,1.92538,11940605.0
2023-02-18,1.54773,16514437.0
2023-02-19,1.95834,13150997.0
2023-02-20,2.04867,12829279.0
2023-02-21,2.14632,12005802.0
2023-02-22,2.04761,13212458.0
2023-02-23,2.14809,12577238.0
2023-02-24,1.96046,14766578.0
2023-02-25,1.83693,16558145.0
2023-02-26,2.0019,15251422.0
2023-02-27,2.00604,15326693.0
2023-02-28,2.2728,13012781.0
2023-03-01,2.27665,13193646.0
2023-03-02,2.11839,15452462.0
2023-03-03,2.00565,16891887.0
2023-03-04,1.9362,17822295.0
2023-03-05,1.93045,17864831.0
2023-03-06,1.78654,20113291.0
2023-03-07,1.8405,19488438.0
2023-03-08,1.90456,19448045.0
2023-03-09,1.65696,23486965.0
2023-03-10,1.82627,19882192.0
2023-03-11,0.45335,55144583.0
2023-03-12,0.30325,76647658.0
2023-03-13,0.82528,46621710.0
2023-03-14,1.03616,40606956.0
2023-03-15,1.55068,30034743.0
2023-03-16,1.31765,40637749.0
2023-03-17,1.43826,39833241.0
2023-03-18,1.37282,42221785.0
2023-03-19,1.40539,41464810.0
2023-03-20,1.42419,42025288.0
2023-03-21,1.68975,34585272.0
2023-03-22,1.78793,31855444.0
2023-03-23,1.6473,34804458.0
2023-03-24,1.42846,41805992.0
2023-03-25,1.65166,35990065.0
2023-03-26,1.73471,33427354.0
2023-03-27,1.69824,34685446.0
2023-03-28,1.60915,37244156.0
2023-03-29,1.23576,52056551.0
2023-03-30,1.34841,47635997.0
2023-03-31,1.3059,49551138.0
2023-04-01,1.53382,43456759.0
2023-04-02,1.50676,44281487.0
2023-04-03,1.66215,40797393.0
2023-04-04,1.65961,40305845.0
2023-04-05,1.93178,33335766.0
2023-04-06,1.97769,32562186.0
2023-04-07,1.63919,43482935.0
2023-04-08,1.77874,38511283.0
2023-04-09,1.81617,37787914.0
2023-04-10,1.70714,41308282.0
2023-04-11,1.72344,41563237.0
2023-04-12,1.87502,38232852.0
2023-04-13,2.0233,35031866.0
2023-04-14,2.16172,33061518.0
2023-04-15,1.89914,39735913.0
2023-04-16,1.96776,37788567.0
2023-04-17,1.59423,54040887.0
2023-04-18,1.8172,46090466.0
2023-04-19,2.39334,32014197.0
2023-04-20,2.49518,29018178.0
2023-04-21,2.41192,31244574.0
2023-04-22,2.87098,19664096.0
2023-04-23,2.79977,21327776.0
2023-04-24,2.94301,18032762.0
2023-04-25,2.88715,19480474.0
2023-04-26,2.93063,18185790.0
2023-04-27,2.66396,25364221.0
2023-04-28,2.47537,30255757.0
2023-04-29,2.38553,32963968.0
2023-04-30,3.03529,16504252.0
2023-05-01,2.96878,18422314.0
2023-05-02,2.79348,22297022.0
2023-05-03,2.82696,21782601.0
2023-05-04,2.72451,23960970.0
2023-05-05,2.6843,25184189.0
2023-05-06,2.45628,31103865.0
2023-05-07,2.3112,34989475.0
2023-05-08,2.5548,27898670.0
2023-05-09,2.78615,23674612.0
2023-05-10,2.56407,29833127.0
2023-05-11,2.46891,32801168.0
2023-05-12,2.50946,31612358.0
2023-05-13,2.57356,29685237.0
2023-05-14,2.52005,31200930.0
2023-05-15,2.57008,29986632.0
2023-05-16,2.57763,29829575.0
2023-05-17,2.51051,31830560.0
2023-05-18,2.49466,31792456.0
2023-05-19,2.3671,35821347.0
2023-05-20,2.34188,36794714.0
2023-05-21,2.25909,39598399.0
2023-05-22,1.94221,41976840.0
2023-05-23,2.07587,37569684.0
2023-05-24,2.08023,37377801.0
2023-05-25,2.09099,37274421.0
2023-05-26,2.16583,34725286.0
2023-05-27,2.21519,33510554.0
2023-05-28,2.4855,25833252.0
2023-05-29,2.64181,21179642.0
2023-05-30,2.74738,18387895.0
2023-05-31,2.69628,19972465.0
2023-06-01,2.60473,22891385.0
2023-06-02,2.57925,23890156.0
2023-06-03,2.53927,25311303.0
2023-06-04,2.65139,22378766.0
2023-06-05,2.73641,19646475.0
2023-06-06,2.45771,28817276.0
2023-06-07,2.40535,31042848.0
2023-06-08,2.46421,29443016.0
2023-06-09,1.99946,48719134.0
2023-06-10,1.92369,51925845.0
2023-06-11,1.87139,55357822.0
2023-06-12,1.62375,68771386.0
2023-06-13,1.80093,58669054.0
2023-06-14,1.80746,58465044.0
2023-06-15,2.04875,50082629.0
2023-06-16,2.39642,34186645.0
2023-06-17,2.43941,32643994.0
2023-06-18,2.33783,36911888.0
2023-06-19,2.32112,37593539.0
2023-06-20,2.486,31667827.0
2023-06-21,2.68118,25412031.0
2023-06-22,2.66741,25668303.0
2023-06-23,2.98807,19666513.0
2023-06-24,2.78457,21495261.0
2023-06-25,2.56143,30178375.0
2023-06-26,2.34108,39638343.0
2023-06-27,2.39418,37683565.0
