date,Lido_APY,Lido_TVL
2022-05-03,3.6,11074372760.0
2022-05-04,3.6,11744709791.0
2022-05-05,3.6,11008298772.0
2022-05-06,3.5,10974211995.0
2022-05-07,3.5,10736517627.0
2022-05-08,3.6,10375445969.0
2022-05-09,3.5,9406769875.0
2022-05-10,3.6,9506069560.0
2022-05-11,3.6,8714550420.0
2022-05-12,3.6,7857787286.0
2022-05-13,3.6,8459868374.0
2022-05-14,3.6,8307436489.0
2022-05-15,3.7,8869252957.0
2022-05-16,3.7,8406513502.0
2022-05-17,3.7,8601108016.0
2022-05-18,3.8,8072321130.0
2022-05-19,3.8,8305322669.0
2022-05-20,3.8,8110663532.0
2022-05-21,3.8,8093785039.0
2022-05-22,3.9,8299480469.0
2022-05-23,3.9,8130648910.0
2022-05-24,4.0,8144177342.0
2022-05-25,4.0,8076696769.0
2022-05-26,4.0,7549047867.0
2022-05-27,4.0,7162858310.0
2022-05-28,4.0,7329191226.0
2022-05-29,4.0,7403372675.0
2022-05-30,4.0,8190730072.0
2022-05-31,4.0,8040565588.0
2022-06-01,4.0,7457563960.0
2022-06-02,4.0,7529727017.0
2022-06-03,4.0,7361895607.0
2022-06-04,4.0,7371970157.0
2022-06-05,4.0,7462010533.0
2022-06-06,4.0,7693058781.0
2022-06-07,4.0,7602537682.0
2022-06-08,4.0,7423014605.0
2022-06-09,4.0,7365761144.0
2022-06-10,4.0,6693572071.0
2022-06-11,4.0,6292245541.0
2022-06-12,4.0,6013418620.0
2022-06-13,4.0,5020855492.0
2022-06-14,4.0,4739191219.0
2022-06-15,4.0,4881295771.0
2022-06-16,4.0,4394576092.0
2022-06-17,4.0,4282944265.0
2022-06-18,4.0,3874088251.0
2022-06-19,3.9,4520906774.0
2022-06-20,4.0,4367053109.0
2022-06-21,4.0,4507593430.0
2022-06-22,4.0,4217562775.0
2022-06-23,4.0,4567417615.0
2022-06-24,4.0,5021163436.0
2022-06-25,4.0,5081069509.0
2022-06-26,4.0,5004523357.0
2022-06-27,3.9,4955876828.0
2022-06-28,4.0,4732321593.0
2022-06-29,4.0,4539445148.0
2022-06-30,4.0,4210439330.0
2022-07-01,3.9,4359975792.0
2022-07-02,4.0,4380939233.0
2022-07-03,3.9,4409746992.0
2022-07-04,3.9,4680798883.0
2022-07-05,3.9,4713828842.0
2022-07-06,3.9,4837109739.0
2022-07-07,4.0,5106471304.0
2022-07-08,4.0,5099925900.0
2022-07-09,4.0,5033724248.0
2022-07-10,4.0,4808943414.0
2022-07-11,4.0,4591925326.0
2022-07-12,4.0,4263669067.0
2022-07-13,3.9,4443090874.0
2022-07-14,3.9,4842711111.0
2022-07-15,3.9,5139344218.0
2022-07-16,4.0,5555425744.0
2022-07-17,3.9,5625899824.0
2022-07-18,3.9,6263863454.0
2022-07-19,3.9,6518463985.0
2022-07-20,3.9,6472259510.0
2022-07-21,3.9,6607042649.0
2022-07-22,3.9,6416905210.0
2022-07-23,3.9,6353671405.0
2022-07-24,3.9,6761689534.0
2022-07-25,3.9,6240665157.0
2022-07-26,4.0,5865846166.0
2022-07-27,3.9,6777984956.0
2022-07-28,4.0,7232897604.0
2022-07-29,3.9,7174806109.0
2022-07-30,3.9,6977484593.0
2022-07-31,3.9,7014586564.0
2022-08-01,3.9,6724669519.0
2022-08-02,3.9,6890613466.0
2022-08-03,3.9,6776873887.0
2022-08-04,3.9,6713444566.0
2022-08-05,3.9,6908542490.0
2022-08-06,3.9,7458717544.0
2022-08-07,3.9,7217877591.0
2022-08-08,3.9,7304205552.0
2022-08-09,3.9,6995633859.0
2022-08-10,3.9,7634852552.0
2022-08-11,3.9,7843828625.0
2022-08-12,3.9,8011739284.0
2022-08-13,3.9,8303910199.0
2022-08-14,3.9,8098077400.0
2022-08-15,3.9,7960091878.0
2022-08-16,3.9,7812960907.0
2022-08-17,3.9,7684345027.0
2022-08-18,3.9,7788872430.0
2022-08-19,3.9,6860332450.0
2022-08-20,3.9,6583547617.0
2022-08-21,3.9,6683229695.0
2022-08-22,3.9,6580044165.0
2022-08-23,3.9,6909594160.0
2022-08-24,3.9,6948100964.0
2022-08-25,3.9,7123541693.0
2022-08-26,3.8,6488054486.0
2022-08-27,3.9,6177416420.0
2022-08-28,3.9,6114311812.0
2022-08-29,3.9,6443174944.0
2022-08-30,3.9,6427031104.0
2022-08-31,3.9,6576566695.0
2022-09-01,3.9,6612139651.0
2022-09-02,3.9,6580468626.0
2022-09-03,3.9,6469124569.0
2022-09-04,3.9,6542640230.0
2022-09-05,3.9,6643226253.0
2022-09-06,3.8,6520763538.0
2022-09-07,3.5,6763332373.0
2022-09-08,3.8,6786851272.0
2022-09-09,3.8,7168583666.0
2022-09-10,3.8,7351359379.0
2022-09-11,3.8,7286655809.0
2022-09-12,3.8,7192081392.0
2022-09-13,3.8,6632054366.0
2022-09-14,3.8,6698034102.0
2022-09-15,4.0,6383348324.0
2022-09-16,5.5,6152550787.0
2022-09-17,4.8,6248868873.0
2022-09-18,4.6,5723155462.0
2022-09-19,5.3,5932865782.0
2022-09-20,4.9,5697552372.0
2022-09-21,5.3,5300665049.0
2022-09-22,5.2,5677021743.0
2022-09-23,5.0,5762440019.0
2022-09-24,5.0,5715230579.0
2022-09-25,4.7,5616952047.0
2022-09-26,5.1,5749704257.0
2022-09-27,5.5,5776603773.0
2022-09-28,5.6,5843639254.0
2022-09-29,5.4,5843185343.0
2022-09-30,5.6,5801648031.0
2022-10-01,5.4,5751410711.0
2022-10-02,5.1,5716507295.0
2022-10-03,5.2,5773325745.0
2022-10-04,5.0,5952964141.0
2022-10-05,5.3,5920188192.0
2022-10-06,5.7,5943018896.0
2022-10-07,5.0,5854806263.0
2022-10-08,5.8,5760214894.0
2022-10-09,4.7,5805945106.0
2022-10-10,5.0,5682810416.0
2022-10-11,5.2,5634787546.0
2022-10-12,4.9,5726380785.0
2022-10-13,5.1,5702727849.0
2022-10-14,6.2,5696341566.0
2022-10-15,5.0,5630081851.0
2022-10-16,5.0,5785844872.0
2022-10-17,5.0,5874054170.0
2022-10-18,5.9,5811321656.0
2022-10-19,5.5,5743039452.0
2022-10-20,6.3,5700698685.0
2022-10-21,5.7,5785676210.0
2022-10-22,5.6,5863410016.0
2022-10-23,5.0,6018734656.0
2022-10-24,5.0,6022969192.0
2022-10-25,5.0,6625011130.0
2022-10-26,6.1,7016639524.0
2022-10-27,5.8,6923039371.0
2022-10-28,5.4,7102693764.0
2022-10-29,5.3,7467958839.0
2022-10-30,5.3,7351125624.0
2022-10-31,5.0,7210064108.0
2022-11-01,5.3,7325844573.0
2022-11-02,5.3,7054992160.0
2022-11-03,5.8,7159502067.0
2022-11-04,6.2,7673028495.0
2022-11-05,5.3,7645207753.0
2022-11-06,4.6,7535123379.0
2022-11-07,5.0,7438152760.0
2022-11-08,5.9,6202171997.0
2022-11-09,5.9,5180491530.0
2022-11-10,6.9,6177737971.0
2022-11-11,6.9,5916676591.0
2022-11-12,6.9,5847547893.0
2022-11-13,10.2,5705998188.0
2022-11-14,10.2,5718763865.0
2022-11-15,10.1,5830867018.0
2022-11-16,9.7,5660194496.0
2022-11-17,5.5,5667059854.0
2022-11-18,5.2,5662140339.0
2022-11-19,4.8,5732534871.0
2022-11-20,5.3,5419250524.0
2022-11-21,5.3,5274056690.0
2022-11-22,5.4,5293241478.0
2022-11-23,6.3,5481722310.0
2022-11-24,4.9,5578991151.0
2022-11-25,4.9,5617013869.0
2022-11-26,7.7,5666576564.0
2022-11-27,4.4,5702807364.0
2022-11-28,5.0,5517604288.0
2022-11-29,4.8,5759108457.0
2022-11-30,4.7,6084415198.0
2022-12-01,4.8,6026474714.0
2022-12-02,5.0,6101101000.0
2022-12-03,4.6,5882960738.0
2022-12-04,4.6,6036426806.0
2022-12-05,4.4,5944511613.0
2022-12-06,4.5,5923663119.0
2022-12-07,4.7,5827050199.0
2022-12-08,5.0,6049820121.0
