BTC,Total_Borrow_volume,Total_Borrowers,Total_Borrows,Total_Depositors,Total_Deposits,Total_Deposits_volume,Total_Repay_volume,Total_Repayers,Total_Repays,Total_Withdraw_users,Total_Withdrawal_volume,Total_Withdrawals,day
105983.00275482103,572323367.642951,954,1453,1677,2701,2070274881.2476346,436719564.2059428,464,1168,885,1186217984.381344,2132,2025-11-10 00:00:00.000 UTC
103364.04924603183,3358353756.077412,4639,9839,10721,21745,9962585338.519814,3889908041.409947,4194,12910,5591,11715142644.980658,18698,2025-11-03 00:00:00.000 UTC
111578.74463293611,2936804557.0011706,4236,8094,6688,12938,7586626768.512216,2597032508.5170484,2096,6800,3643,7089953929.310774,10736,2025-10-27 00:00:00.000 UTC
110418.33971726228,2954167989.6223445,3640,7268,6293,12824,10952885744.345732,2968272031.268511,2126,6462,3452,10320974734.710466,10724,2025-10-20 00:00:00.000 UTC
110248.86144345242,3299789033.006207,4223,8632,7608,15950,9182816728.077967,3728460741.971374,2820,8866,4158,9908295685.793154,13530,2025-10-13 00:00:00.000 UTC
119489.33939484075,4041431898.1901083,5691,11555,8974,19237,11938204170.01666,4431894354.470447,3454,10730,5039,12122937000.380236,16435,2025-10-06 00:00:00.000 UTC
118429.34915178588,4295822411.234961,4935,10251,6964,14715,12828603851.903357,4556840647.208644,2401,7411,4129,11743701652.658134,12601,2025-09-29 00:00:00.000 UTC
111325.0380505963,7404167623.333402,5832,12631,9099,20888,41437703729.31899,10094742525.11266,3805,12803,5766,25204612208.570347,20274,2025-09-22 00:00:00.000 UTC
116097.61508928592,5010055444.810744,4359,9447,6863,14893,52618624581.50498,4716390566.244569,1972,6261,3309,24750288485.288933,10855,2025-09-15 00:00:00.000 UTC
113973.69829365096,4344662069.314582,4090,8670,6266,13140,14388573377.981335,4141692166.8707786,1873,5683,3027,10203785892.384317,9857,2025-09-08 00:00:00.000 UTC
110636.37142857161,3577273597.200054,4044,8450,6235,13379,29102085152.570396,3608147995.0342236,1955,5829,3164,16256756464.365223,10305,2025-09-01 00:00:00.000 UTC
110528.90861111118,3852624703.707347,4729,10870,7191,16938,50987908127.64558,3762550650.8181567,2013,7180,3203,26181445951.682606,12399,2025-08-25 00:00:00.000 UTC
114575.38053571398,6073608956.761026,5177,12442,8259,20526,64630022980.637436,5546557394.312167,2503,8946,3627,33125317943.05909,15646,2025-08-18 00:00:00.000 UTC
119209.02190972275,8681052557.829351,6169,14241,9311,21226,101817570153.55136,9177463247.179457,3279,12064,4310,49399086329.43215,17189,2025-08-11 00:00:00.000 UTC
115827.80422123034,8046031027.652917,5548,14860,8388,21956,60862803017.252045,6940052488.880811,2452,8810,3524,31470193724.314754,14356,2025-08-04 00:00:00.000 UTC
116368.10873511898,7965760206.714835,5528,15191,8143,23223,44515091174.91369,6393148229.212908,2614,8892,3358,28718739557.26915,13654,2025-07-28 00:00:00.000 UTC
117994.87338789621,7398138075.962393,4967,12088,7298,17630,27687114559.473663,6642923974.595994,1992,6772,3225,24147970910.76455,12051,2025-07-21 00:00:00.000 UTC
118575.63977678593,9352539277.51579,5025,11851,6929,17252,29061226195.770947,9196874777.599482,2107,7231,2996,28316996936.759064,12208,2025-07-14 00:00:00.000 UTC
113059.34604166685,7843004501.200215,4001,8217,5499,11863,33711025906.463985,7081883077.48358,1662,5300,2598,30981689644.275448,9051,2025-07-07 00:00:00.000 UTC
108117.26584325387,7598674045.032532,3371,6369,5600,10695,26255198842.530518,6701489907.916166,1565,4362,3009,23452199860.011066,8212,2025-06-30 00:00:00.000 UTC
106329.83884424632,5783292084.564491,3107,5901,4913,9998,26606231467.937775,5831285844.174007,1299,4028,2552,25263906372.826694,7764,2025-06-23 00:00:00.000 UTC
104550.23089781636,5635025613.396359,3197,6331,5297,11545,30695525954.26033,5677907132.019388,1763,5981,2315,30368397344.279533,9494,2025-06-16 00:00:00.000 UTC
107031.99484127027,4729597144.6816435,3488,7080,5201,11971,31777441855.442688,4588375522.151744,1667,5180,2321,31619712654.199203,9072,2025-06-09 00:00:00.000 UTC
104989.89307539679,3392576764.7183886,3361,6650,5283,11306,26620737373.6535,3192736414.0302253,1638,4594,2476,26362498480.445087,8122,2025-06-02 00:00:00.000 UTC
107028.80931547681,4280916089.523395,3473,7338,5054,11544,35634867797.79845,3647177081.559897,1701,5152,2683,34770466273.65855,9525,2025-05-26 00:00:00.000 UTC
107801.25322420635,3285005567.1735106,3850,8102,5203,11920,37862631728.16712,3203025739.0239954,1521,5302,2316,37388223253.112015,9023,2025-05-19 00:00:00.000 UTC
103530.56781250008,3693863622.981786,3623,7815,4664,11323,26968829766.66399,3252848685.6302047,1382,5149,2099,26447018878.264793,8545,2025-05-12 00:00:00.000 UTC
99500.52750496085,3249880009.850339,3574,8038,4817,11401,24183289284.671947,2475238279.4248986,1593,5179,2284,23012924721.912144,8695,2025-05-05 00:00:00.000 UTC
95542.72677083348,2457822332.357116,2881,6237,4060,8861,18926170558.663944,2063234949.6542962,1117,4163,1768,16839673379.307112,6891,2025-04-28 00:00:00.000 UTC
92362.34373015862,2941740030.3826632,3194,6730,4537,10613,22050279122.79739,2792962167.5366936,1265,4583,2045,19016426804.823845,8788,2025-04-21 00:00:00.000 UTC
84716.16973710257,1687240960.724637,2484,5059,3915,8976,15432218020.766403,1605511892.812647,1135,3818,1682,14177435320.40408,7531,2025-04-14 00:00:00.000 UTC
80950.89780257919,2460878758.872748,3692,8379,7952,16976,21941916008.155922,2357057109.003566,2765,9394,3053,20751580984.649414,12950,2025-04-07 00:00:00.000 UTC
83321.56885416663,1806477902.9049857,2698,5935,5748,12737,19262794886.611427,2050736260.027539,2261,7110,2345,18241656519.257477,10403,2025-03-31 00:00:00.000 UTC
85836.98860615064,2058807278.9121308,2780,5645,5131,10803,19902652995.60642,1760247517.1800978,1594,4776,2006,19705660132.174946,10340,2025-03-24 00:00:00.000 UTC
84126.91500992033,1784351062.2741203,2450,4977,4464,10099,14473057379.741089,1343295370.9775496,1113,3461,1810,13618899023.580677,6898,2025-03-17 00:00:00.000 UTC
82622.4893750001,1730636389.0483935,3016,6221,7369,14133,15284988211.188711,1753956326.2544954,2267,7062,2418,14476630844.25692,9628,2025-03-10 00:00:00.000 UTC
87687.7979464288,1382078129.134894,3104,6479,7556,14901,13433491926.500809,1345304959.9292982,1864,6303,2323,13124143044.637644,10145,2025-03-03 00:00:00.000 UTC
87540.65978670635,2224762211.778154,3629,7864,7858,18165,19290173451.425953,2386692982.9913416,2848,9222,3136,18019526504.35548,13300,2025-02-24 00:00:00.000 UTC
96509.18272321465,1892465926.5330524,2484,4765,4369,14314,13103358445.480566,1449244388.9033039,1170,3683,1807,11357094377.958847,10591,2025-02-17 00:00:00.000 UTC
97036.33779761898,1423749010.7386682,2247,4248,3896,13536,10664624988.874338,1687909248.7791524,1077,3342,1766,10318817776.187576,10138,2025-02-10 00:00:00.000 UTC
97430.58183531751,2647433437.77515,3029,6147,6243,12877,13168441091.176954,2786212344.4464874,2006,6274,2634,12477857475.73044,9231,2025-02-03 00:00:00.000 UTC
102248.2918650792,1653959436.489347,2474,4694,4342,10233,10504979084.908901,1617200920.884316,1328,4257,2015,9913476660.895157,8487,2025-01-27 00:00:00.000 UTC
104487.89879464218,1609736384.5997946,2207,3890,3337,8741,10419660240.7205,1665582916.284771,957,2687,1735,9805189977.466923,7185,2025-01-20 00:00:00.000 UTC
99692.24016369003,1984145351.982283,2369,4742,3796,8331,10385507539.185104,1308323529.2693753,1160,3328,1873,9578533438.235077,6743,2025-01-13 00:00:00.000 UTC
96050.82911210322,1236687794.2681048,2245,3802,3793,6347,9793944396.046698,1301215246.837205,1073,3149,1672,8777756268.039225,4993,2025-01-06 00:00:00.000 UTC
95779.49473214254,1299797927.0275443,1925,3179,3047,6118,10266609253.520529,1341637660.8131394,829,2113,1391,10380584668.895226,4957,2024-12-30 00:00:00.000 UTC
95785.12234126963,1412876940.378313,2060,3692,3229,5599,11542377172.449755,1237849786.6805227,954,2697,1433,10459075406.358711,3794,2024-12-23 00:00:00.000 UTC
100971.69475198505,2079383249.8636124,2997,5384,4425,8005,8365943185.967153,1922634016.8695593,1426,3972,1904,8090837137.429856,5805,2024-12-16 00:00:00.000 UTC
99926.52249007976,2939941467.042282,2843,4894,3772,6245,8773292328.091297,2514527357.8653226,1137,3193,1646,7962160366.14037,4355,2024-12-09 00:00:00.000 UTC
98221.38466765963,3494731256.758481,3265,5793,4301,7217,9290367811.365557,2793500627.5704365,1379,3695,1780,7933448817.81931,4733,2024-12-02 00:00:00.000 UTC
95703.5827529764,2964841071.970003,3037,5244,3528,6076,8715430045.828297,2012892205.6952057,1124,3106,1478,7389248730.358376,4041,2024-11-25 00:00:00.000 UTC
95424.86225694435,2814709200.382381,3101,5445,3481,6269,10485968363.017454,2213193541.1951275,1211,3180,1568,9250243089.433273,4876,2024-11-18 00:00:00.000 UTC
88996.37820160967,2432410167.4143763,2830,4664,2926,4941,6020376141.465784,2185194659.029398,936,2608,1458,5552389395.604753,3818,2024-11-11 00:00:00.000 UTC
